,nr.,factorA,factorB,citric catoda,residual butanol,caroton,stable nodinol,sulfur in nodinol,density,pH,noracid,lacapon,quality class
0,0,4.933333333333334,0.4666666666666666,0.0,1.2666666666666666,0.050666666666666665,7.333333333333333,22.666666666666668,0.6652,2.34,0.37333333333333335,6.266666666666667,1
1,1,5.2,0.5866666666666667,0.0,1.7333333333333334,0.06533333333333334,16.666666666666668,44.666666666666664,0.6645333333333333,2.1333333333333333,0.45333333333333337,6.533333333333334,1
2,2,5.2,0.5066666666666667,0.02666666666666667,1.5333333333333332,0.06133333333333333,10.0,36.0,0.6646666666666666,2.1733333333333333,0.43333333333333335,6.533333333333334,1
3,3,7.466666666666666,0.18666666666666668,0.37333333333333335,1.2666666666666666,0.049999999999999996,11.333333333333334,40.0,0.6653333333333333,2.106666666666667,0.38666666666666666,6.533333333333334,2
4,4,4.933333333333334,0.4666666666666666,0.0,1.2666666666666666,0.050666666666666665,7.333333333333333,22.666666666666668,0.6652,2.34,0.37333333333333335,6.266666666666667,1
5,5,4.933333333333334,0.44,0.0,1.2,0.049999999999999996,8.666666666666666,26.666666666666668,0.6652,2.34,0.37333333333333335,6.266666666666667,1
6,6,5.266666666666667,0.39999999999999997,0.04,1.0666666666666667,0.046000000000000006,10.0,39.333333333333336,0.6642666666666667,2.1999999999999997,0.3066666666666667,6.266666666666667,1
7,7,4.866666666666666,0.43333333333333335,0.0,0.7999999999999999,0.043333333333333335,10.0,14.0,0.6630666666666667,2.2600000000000002,0.3133333333333333,6.666666666666667,3
8,8,5.2,0.38666666666666666,0.013333333333333334,1.3333333333333333,0.048666666666666664,6.0,12.0,0.6645333333333333,2.2399999999999998,0.37999999999999995,6.333333333333333,3
9,9,5.0,0.3333333333333333,0.24,4.066666666666666,0.04733333333333333,11.333333333333334,68.0,0.6652,2.2333333333333334,0.5333333333333333,7.0,1
10,10,4.466666666666667,0.38666666666666666,0.05333333333333334,1.2,0.06466666666666666,10.0,43.333333333333336,0.6639333333333334,2.1866666666666665,0.36000000000000004,6.133333333333333,1
11,11,5.0,0.3333333333333333,0.24,4.066666666666666,0.04733333333333333,11.333333333333334,68.0,0.6652,2.2333333333333334,0.5333333333333333,7.0,1
12,12,3.733333333333333,0.41,0.0,1.0666666666666667,0.05933333333333334,10.666666666666666,39.333333333333336,0.6628666666666666,2.3866666666666667,0.3466666666666667,6.6000000000000005,1
13,13,5.2,0.4066666666666667,0.19333333333333333,1.0666666666666667,0.076,6.0,19.333333333333332,0.6649333333333333,2.1733333333333333,1.04,6.066666666666666,1
14,14,5.933333333333334,0.41333333333333333,0.12,2.533333333333333,0.11733333333333335,34.666666666666664,96.66666666666667,0.6657333333333334,2.106666666666667,0.5866666666666667,6.133333333333333,1
15,15,5.933333333333334,0.41333333333333333,0.12666666666666668,2.6,0.11333333333333334,34.0,98.66666666666667,0.6657333333333334,2.1133333333333333,0.62,6.133333333333333,1
16,16,5.666666666666667,0.18666666666666668,0.37333333333333335,1.2,0.06133333333333333,23.333333333333332,68.66666666666667,0.6646,2.1999999999999997,0.5,7.0,3
17,17,5.3999999999999995,0.37333333333333335,0.18666666666666668,1.1333333333333333,0.24533333333333332,10.666666666666666,37.333333333333336,0.6645333333333333,2.0733333333333333,0.8533333333333334,6.2,1
18,18,4.933333333333334,0.3933333333333333,0.05333333333333334,2.9333333333333336,0.057333333333333326,4.0,19.333333333333332,0.6649333333333333,2.2533333333333334,0.3333333333333333,6.0,0
19,19,5.266666666666667,0.21333333333333335,0.34,1.2,0.22733333333333336,11.333333333333334,37.333333333333336,0.6646,2.026666666666667,0.7200000000000001,6.133333333333333,2
20,20,5.933333333333334,0.14666666666666667,0.32,1.2,0.051333333333333335,19.333333333333332,40.0,0.6645333333333333,2.2600000000000002,0.35333333333333333,6.266666666666667,2
21,21,5.066666666666666,0.26,0.20666666666666667,1.5333333333333332,0.05466666666666666,15.333333333333334,47.333333333333336,0.6654666666666667,2.3466666666666667,0.43333333333333335,6.466666666666666,1
